sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
Load Test - Purchase:GET /,46,4806,4432,7627,333,10399,0.0,0.2443935586358589,7.609364457207219
Load Test - Navigation:GET /,213,3655,3363,6806,361,11006,0.0,0.8840338506107304,27.52492441095538
Load Test - Survey:GET /,200,1106,418,3846,202,9025,0.0,0.30716304214276935,9.563495820182915
Load Test - Purchase:GET /login,46,4006,4267,5921,421,7940,0.0,0.23835308382256168,5.7136883569052435
Load Test - Purchase:POST /sign_in,46,2880,2500,5511,187,10749,0.0,0.2386312939003766,0.28094802279707004
Load Test - Navigation:GET /login,213,3875,3791,6808,479,12485,0.0,0.8738712496358869,20.947917286342584
Load Test - Navigation:POST /sign_in,213,2968,2534,5598,53,16852,0.0,0.8692848601594098,6.3389539159140345
Load Test - Survey:GET /stylist_surveys/registrations,200,1148,470,3653,186,8496,0.0,0.30720267389207356,8.106405058149626
Load Test - Survey:POST /stylist_surveys/registrations/step02,200,1036,429,3127,179,9520,0.0,0.3074397341261179,8.103351799252614
Load Test - Purchase:GET /showroom (first),46,6556,6551,9023,1748,11852,0.0,0.2336448598130841,10.391621006450631
Load Test - Navigation:GET /showroom (first),213,6474,6030,11005,1665,20528,0.0,0.8419305110873948,31.58568443293213
Load Test - Survey:POST /stylist_surveys/registrations/step03,200,1056,426,3248,177,11157,0.0,0.30767668718357377,8.114407749298882
Load Test - Survey:POST /stylist_surveys/registrations/step04,200,1068,427,2605,178,12835,0.0,0.30791447983237136,8.19284504656052
Load Test - Navigation:GET /features,213,23472,6707,81027,1784,87605,0.0,0.6463143393787494,69.40610956696939
Load Test - Survey:POST /stylist_surveys/registrations/step05,200,1160,306,3854,157,17462,0.0,0.3085400808992092,9.746448209522626
Load Test - Purchase:GET /showroom/welcome,46,9238,8193,13022,3223,19824,0.0,0.21999990434786765,9.799878551683237
Load Test - Navigation:GET /boutiques,213,6264,5655,9563,641,22357,0.0,0.648364325959838,12.726296129371512
Load Test - Navigation:GET /shop_by shoes,213,6989,6030,11840,952,24373,0.0,0.6547741643944262,13.004642498685842
Load Test - Survey:POST /stylist_surveys/registrations/congrats,200,5301,806,12542,459,90641,0.0,0.3095131976427475,24.16384042428069
Load Test - Purchase:GET /products/shala-2,46,7708,7609,10521,4226,12173,0.0,0.2206891257832065,10.053039977715196
Load Test - Survey:POST /users,200,8830,1938,18153,1066,95029,0.0,0.31223508804248895,19.49333813508617
Load Test - Navigation:GET /whats_new,213,9646,6882,11820,553,84867,0.0,0.5408782033702044,27.395590608684778
Load Test - Navigation:GET /how_it_works,213,4978,4479,8847,439,15559,0.0,0.551129556845262,14.80760688565873
Load Test - Survey:GET /showroom/welcome,200,2271,795,5323,397,75785,0.0,0.3146083676387541,18.590458840082206
Load Test - Navigation:GET /meet_the_stylists,213,4412,4041,7471,416,10743,0.0,0.5529063926881375,14.983179692793007
Load Test - Navigation:GET /gift_cards,213,4845,4664,7828,435,14045,0.0,0.5569865198802348,17.463592808205743
Load Test - Purchase:POST /shopping_cart/line_items,46,17896,17223,23792,9744,27074,0.0,0.20618649119897445,8.590790096268922
Load Test - Navigation:GET /celebritydesigns,213,5086,4626,8265,522,16219,0.0,0.55969119760778,17.796646599021987
Load Test - Navigation:GET /contest_rules,213,4038,3881,7063,412,16479,0.0,0.5628517823639775,21.121336219710383
Load Test - Navigation:GET /blogs,213,4195,4099,6885,415,11781,0.0,0.5690105627594608,20.783082629750435
Load Test - Purchase:GET /shopping_cart/orders/[id]/checkout/edit,46,15009,15034,18448,6793,23959,0.0,0.20815327321022123,8.435877161004294
Load Test - Purchase:POST /orders/[id]/completed?checkout_complete=true&order_token=3e21716977245524c003b58326df0c32,46,17092,16219,23050,9703,27415,0.0,0.20887728459530025,8.526719831990011
TOTAL,5196,5365,3489,9275,53,95029,0.0,7.93154084987773,293.2666040519588
