sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
Load Test - Navigation:GET /,213,3932,3447,6861,555,18494,0.0,0.8863551246306853,27.597186479183136
Load Test - Purchase:GET /,46,4013,3969,5828,765,7920,0.0,0.23413958791432526,7.290094933104792
Load Test - Survey:GET /,300,1003,368,2461,213,18084,0.0,0.31556824373649633,9.825168988438104
Load Test - Navigation:GET /login,213,3651,3147,6768,845,12367,0.0,0.8711549551539245,20.882851833617586
Load Test - Purchase:GET /login,46,3977,3606,6420,859,9392,0.0,0.23150128583866372,5.549440268579236
Load Test - Purchase:POST /sign_in,46,3872,2905,7795,126,15085,0.0,0.22761572527771592,0.267896904920953
Load Test - Navigation:POST /sign_in,213,3099,2865,5523,134,14919,0.0,0.8591793022495976,7.109551947321821
Load Test - Survey:GET /stylist_surveys/registrations,300,827,422,1727,184,8269,0.0,0.31579844900855075,8.333226148269478
Load Test - Survey:POST /stylist_surveys/registrations/step02,300,836,369,1354,177,12137,0.0,0.3162415326329638,8.33531869602811
Load Test - Navigation:GET /showroom (first),213,6609,6086,10531,2114,20936,0.0,0.8426566233601823,31.104318442113843
Load Test - Purchase:GET /showroom (first),46,6721,6263,8651,3196,10963,0.0,0.2178143748017179,9.691338571433645
Load Test - Survey:POST /stylist_surveys/registrations/step03,300,890,393,2331,179,18598,0.0,0.31651712990707054,8.347549952997205
Load Test - Survey:POST /stylist_surveys/registrations/step04,300,785,381,1644,178,9665,0.0,0.3172149374399274,8.44029644793287
Load Test - Navigation:GET /features,213,22795,6823,80194,1442,83809,0.0,0.6614003055483102,66.97556273366372
Load Test - Survey:POST /stylist_surveys/registrations/step05,300,690,266,1585,159,8863,0.0,0.3176966568780797,10.035689910060077
Load Test - Purchase:GET /showroom/welcome,46,8518,8059,12049,3385,18884,0.0,0.21451321821123956,9.559195192164205
Load Test - Navigation:GET /boutiques,213,6621,5759,11680,492,22757,0.0,0.6674207790335872,12.433824020450336
Load Test - Navigation:GET /shop_by shoes,213,6699,6390,11214,699,17440,0.0,0.6740996971298544,12.703545891987392
Load Test - Survey:POST /stylist_surveys/registrations/congrats,300,6462,715,12652,446,101656,0.0,0.3185213812785873,24.495107113431835
Load Test - Purchase:GET /products/shala-2,46,6837,6532,9542,3459,10615,0.0,0.2156738636097241,9.829062529303513
Load Test - Navigation:GET /whats_new,213,9190,6735,11255,660,82988,0.0,0.5742044707074846,27.724749640616746
Load Test - Navigation:GET /how_it_works,213,4935,4736,8281,379,15081,0.0,0.5838047625312459,15.615696039857694
Load Test - Navigation:GET /meet_the_stylists,213,4325,4001,6843,352,11815,0.0,0.5898267349351883,15.891824448491235
Load Test - Navigation:GET /gift_cards,213,4686,4485,7392,478,12479,0.0,0.594859077046818,18.561854871141794
Load Test - Purchase:POST /shopping_cart/line_items,46,19666,19483,24047,11398,34077,0.0,0.20124157300913026,9.8726542095581
Load Test - Navigation:GET /celebritydesigns,213,5250,4994,8434,449,15596,0.0,0.5970417004196109,18.89133643965534
Load Test - Navigation:GET /contest_rules,213,4171,4014,6925,423,12623,0.0,0.6030662948229732,22.53650603774119
Load Test - Navigation:GET /blogs,213,4485,4159,7707,503,12416,0.0,0.6043136075536364,21.978917935524276
Load Test - Survey:POST /users,300,8043,1635,14014,1085,91384,0.0,0.3204600952407403,19.931848068667122
Load Test - Purchase:GET /shopping_cart/orders/[id]/checkout/edit,46,19597,15489,20894,10316,96668,0.0,0.16197297164064536,7.510258654990528
Load Test - Survey:GET /showroom/welcome,300,1541,697,2966,401,75467,0.0,0.3288442440199674,19.631591383143554
Load Test - Purchase:POST /orders/[id]/completed?checkout_complete=true&order_token=3e21716977245524c003b58326df0c32,46,18358,18922,22561,1281,26674,0.043478260869565216,0.16966343937298295,7.842157964499769
TOTAL,6096,4888,2705,8897,126,101656,3.2808398950131233E-4,6.3826445675276675,237.88294513638766
